 36022) ev: 120128_002218; st:  39;2012  28  0 22 18.3 40.23 142.51  43.9   0.29E+18  1.5   0.10E+18 2.120 0.028 -2.150 0.909 1.740 -0.424 179 25  69  22 66 100
 36024) ev: 120128_044625; st:  39;2012  28  4 46 25.0 19.44 120.87  33.4   0.15E+18  1.2   0.10E+18 1.150 -0.153 -0.999 -0.405 -0.801 -0.508  24 27  88 206 63  91
 36027) ev: 120128_144719; st:  39;2012  28 14 47 19.7  1.88  96.46  23.0   0.10E+18  1.1   0.10E+18 0.699 -0.364 -0.335 0.368 -0.647 0.355 303 23  69 146 69  99
 36028) ev: 120128_174256; st:  39;2012  28 17 42 56.7 -29.23 -176.95  33.1   0.77E+18  2.1   0.10E+18 6.130 -0.567 -5.570 0.724 4.690 -1.580 200 26  98  12 64  86
 36038) ev: 120130_051105; st:  39;2012  30  5 11  5.5 -14.26  -76.05  45.7   0.49E+19  3.8   0.10E+19 3.690 0.061 -3.750 -0.138 -2.740 1.660 323 31  64 174 63 105
 36046) ev: 120201_071431; st:  39;2012  32  7 14 31.0  -3.88 102.00  60.3   0.15E+18  1.2   0.10E+18 0.685 -0.433 -0.253 0.592 -1.030 0.591 287 21  51 148 74 104
 36052) ev: 120202_064630; st:  39;2012  33  6 46 30.6  -6.72 149.83  25.0   0.25E+18  1.4   0.10E+18 -0.255 2.460 -2.210 -0.288 -0.764 -0.320 317 73  -10  50 80 -163
 36053) ev: 120202_093216; st:  39;2012  33  9 32 16.6  -6.72 149.82  21.1   0.28E+18  1.5   0.10E+18 -0.120 2.580 -2.460 0.323 -0.634 -0.904  55 75 -177 324 87  -15
 36054) ev: 120202_133449; st:  39;2012  33 13 34 49.2 -17.69 167.11  20.5   0.44E+20  8.0   0.10E+20 -2.920 -1.200 4.130 -0.917 0.896 2.360  51 51  -43 172 58 -132
 36056) ev: 120203_034626; st:  39;2012  34  3 46 26.6 -17.40 167.13  12.0   0.17E+19  2.7   0.10E+19 -1.570 -0.039 1.610 -0.232 0.362 0.343  22 41  -73 181 51 -104
 36057) ev: 120203_043312; st:  39;2012  34  4 33 12.9 -17.40 167.11  12.0   0.45E+18  1.7   0.10E+18 -4.220 -0.067 4.290 0.746 1.290 0.601   0 37 -102 195 54  -81
 36065) ev: 120204_130928; st:  39;2012  35 13  9 28.2 12.05 125.91  17.7   0.54E+18  1.8   0.10E+18 3.300 -0.078 -3.230 -0.443 4.190 0.603 166 19  83 353 71  92
 36067) ev: 120204_192919; st:  39;2012  35 19 29 19.9 12.08 125.95  13.4   0.13E+18  1.2   0.10E+18 1.020 -0.164 -0.854 -0.373 0.753 0.398 157 25  92 334 65  89
 36069) ev: 120204_215049; st:  39;2012  35 21 50 49.6 12.99  57.49  12.0   0.23E+18  1.4   0.10E+18 -2.100 1.190 0.910 0.972 -0.381 -0.954 138 33  -77 303 58  -98
 36070) ev: 120205_001543; st:  39;2012  36  0 15 43.6 -19.02 168.88 155.6   0.18E+19  2.8   0.10E+19 0.813 -0.294 -0.519 -0.542 -0.934 1.270 282 53  29 174 67 139
 36076) ev: 120205_164045; st:  39;2012  36 16 40 45.0 -17.94 167.12  12.0   0.12E+19  2.4   0.10E+19 -1.150 -0.082 1.230 -0.216 0.075 0.231  21 45  -73 178 47 -106
 36078) ev: 120206_034919; st:  39;2012  37  3 49 19.2 10.03 123.26  12.0   0.13E+20  5.3   0.10E+20 1.050 0.073 -1.130 -0.094 -0.062 -0.697  19 43  83 210 47  97
 36079) ev: 120206_042004; st:  39;2012  37  4 20  4.3  9.99 123.24  12.0   0.31E+18  1.5   0.10E+18 1.870 -0.343 -1.530 2.150 0.965 -0.995 189 26  47  55 71 109
 36080) ev: 120206_101021; st:  39;2012  37 10 10 21.6  9.90 123.13  12.0   0.14E+19  2.6   0.10E+19 0.823 -0.928 0.105 -0.425 0.062 -1.160  20 54  30 271 66 140
 36081) ev: 120206_113338; st:  39;2012  37 11 33 38.4  9.91 123.07  12.0   0.83E+18  2.1   0.10E+18 4.590 -4.900 0.312 -2.680 1.290 -6.350  20 54  32 270 65 140
 36082) ev: 120206_114017; st:  39;2012  37 11 40 17.5  9.99 123.22  13.3   0.15E+18  1.2   0.10E+18 0.601 -0.581 -0.020 -0.846 0.755 -0.829  22 49  28 273 69 136
 36089) ev: 120208_004106; st:   3;2012  39  0 41  6.0 10.24 123.40  12.0   0.98E+17  1.0   0.10E+18 0.951 -0.125 -0.826 -0.146 -0.011 -0.358  15 44  79 211 48 101
 36093) ev: 120208_120139; st:  39;2012  39 12  1 39.9 37.94 138.07  12.8   0.15E+18  1.2   0.10E+18 1.420 -0.051 -1.370 -0.460 -0.332 -0.310 360 38  69 206 55 106
 36101) ev: 120209_185252; st:  39;2012  40 18 52 52.9 -58.28 157.97  20.6   0.82E+18  2.1   0.10E+18 -0.549 -4.420 4.970 2.640 0.124 6.140 342 72 -174 250 84  -18
 36104) ev: 120210_014738; st:  39;2012  41  1 47 38.2 -17.98 -178.42 598.0   0.10E+19  2.3   0.10E+19 -0.070 0.585 -0.515 0.333 -0.688 -0.416  65 42 -176 332 87  -48
 36105) ev: 120210_053408; st:  39;2012  41  5 34  8.0  -0.33 132.61  19.8   0.38E+18  1.6   0.10E+18 2.750 -3.270 0.516 -2.200 0.232 0.664 103 27  95 277 63  87
